Tree_type,*Carya illinoiensis*,*Celtis spp.*,*Juniperus spp.*,*Quercus buckleyi*,*Quercus fusiformis*,*Ulmus crassifolia*
Canopy,7,2,17,3,2,9
Sapling,0,6,7,3,6,11
